0.00000000	0.14285714	11.91326531
0.02857143	0.31428571	7.59170523
0.05714286	0.48571429	4.16869801
0.08571429	0.65714286	1.88475684
0.11428571	0.82857143	0.95206606
0.14285714	1.00000000	1.52084627
0.17142857	0.00000000	0.64858582
0.20000000	0.17142857	-1.68058723
0.22857143	0.34285714	-2.54860227
0.25714286	0.51428571	-2.11018951
0.28571429	0.68571429	-0.55558691
0.31428571	0.85714286	1.91784363
0.34285714	0.02857143	4.27595544
0.37142857	0.20000000	2.95621492
0.40000000	0.37142857	2.16829976
0.42857143	0.54285714	1.89948353
0.45714286	0.71428571	2.19603484
0.48571429	0.88571429	3.15046378
0.51428571	0.05714286	3.16850976
0.54285714	0.22857143	0.66196392
0.57142857	0.40000000	-0.82920039
0.60000000	0.57142857	-1.22508405
0.62857143	0.74285714	-0.48784527
0.65714286	0.91428571	1.37527442
0.68571429	0.08571429	1.74501831
0.71428571	0.25714286	0.54378920
0.74285714	0.42857143	0.25064191
0.77142857	0.60000000	0.77489516
0.80000000	0.77142857	2.04271755
0.82857143	0.94285714	4.00855134
0.85714286	0.11428571	3.23255196
0.88571429	0.28571429	1.45191586
0.91428571	0.45714286	0.43216046
0.94285714	0.62857143	0.24250286
0.97142857	0.80000000	0.95730870
1.00000000	0.97142857	2.64304809
