 -0.4852  -1.4943  -2.7138
 -1.2392  -2.7594  -0.6423
 -2.3791  -2.1701   2.8040
 -0.4279  -1.9059   1.0976
  1.0083  -0.1163  -0.5911
 -2.8605  -1.4136   2.0006
  0.5289  -2.3509  -1.2211
 -2.7067  -2.3446  -0.8971
  2.3933  -1.0058  -2.5161
 -1.9100   0.4069  -2.0593
 -2.4266  -1.0997  -1.3138
 -0.9461   1.4574   2.3612
  2.1023   2.5613  -1.1200
 -0.2868   0.4149  -0.4926
 -0.3406   1.2968  -0.4435
 -2.9364  -2.0836  -2.1259
 -0.6342   1.2290  -2.1054
  0.7860   0.5205   2.6469
  2.8769  -1.0519  -1.9034
 -2.7737   1.4972  -2.9558
  0.6824   1.6685   1.6009
  0.4728  -1.1274   0.1884
 -2.0072  -1.3148  -1.2756
 -1.9793   0.7497  -2.2729
 -0.0283   2.6522   1.7236
  1.2530   2.9082  -0.9026
 -0.0641  -0.0195  -1.1036
 -5.5272 -12.8786  -4.8552
-13.3518 -11.5881 -15.6016
-14.4318  -2.7736  -1.7717
-12.7297   0.9334   1.1341
 -5.7287  -8.1700 -15.3359
 -9.2009  -8.8816  -0.5310
-20.2426  -3.8861 -14.4895
-11.7488  -2.4575  -2.5762
 -2.8347 -16.1953  -9.6549
 -1.4501 -13.0664 -10.7293
 -9.5116  -4.2040  -8.2953
 -1.1194  -1.5965  -7.0188
 -2.5039  -3.3873  -0.6502
